dia;linea_Servicio;Hora;Afluencia
16/09/2019;B;4:00:00;2787
17/09/2019;B;4:00:00;2766
18/09/2019;B;4:00:00;2624
19/09/2019;B;4:00:00;2649
20/09/2019;B;4:00:00;2737
21/09/2019;B;4:00:00;2203
22/09/2019;B;4:00:00;598
23/09/2019;B;4:00:00;2709
24/09/2019;B;4:00:00;2771
25/09/2019;B;4:00:00;2642
26/09/2019;B;4:00:00;2615
27/09/2019;B;4:00:00;2730
28/09/2019;B;4:00:00;2213
29/09/2019;B;4:00:00;613
30/09/2019;B;4:00:00;2764
1/10/2019;B;4:00:00;2738
2/10/2019;B;4:00:00;2687
3/10/2019;B;4:00:00;2684
4/10/2019;B;4:00:00;2783
5/10/2019;B;4:00:00;2249
6/10/2019;B;4:00:00;624
7/10/2019;B;4:00:00;2718
8/10/2019;B;4:00:00;2646
9/10/2019;B;4:00:00;2646
10/10/2019;B;4:00:00;2621
11/10/2019;B;4:00:00;2646
12/10/2019;B;4:00:00;2564
13/10/2019;B;4:00:00;625
14/10/2019;B;4:00:00;623
15/10/2019;B;4:00:00;2811
16/10/2019;B;4:00:00;2820
17/10/2019;B;4:00:00;2685
18/10/2019;B;4:00:00;2765
19/10/2019;B;4:00:00;
20/10/2019;B;4:00:00;679
21/10/2019;B;4:00:00;2804
22/10/2019;B;4:00:00;2730
23/10/2019;B;4:00:00;2758
24/10/2019;B;4:00:00;2515
25/10/2019;B;4:00:00;2849
26/10/2019;B;4:00:00;2304
27/10/2019;B;4:00:00;49
28/10/2019;B;4:00:00;2810
29/10/2019;B;4:00:00;2798
30/10/2019;B;4:00:00;2695
31/10/2019;B;4:00:00;2713
1/11/2019;B;4:00:00;2694
2/11/2019;B;4:00:00;2187
3/11/2019;B;4:00:00;652
4/11/2019;B;4:00:00;703
5/11/2019;B;4:00:00;3036
6/11/2019;B;4:00:00;2769
7/11/2019;B;4:00:00;2753
8/11/2019;B;4:00:00;2799
9/11/2019;B;4:00:00;1982
10/11/2019;B;4:00:00;706
11/11/2019;B;4:00:00;642
12/11/2019;B;4:00:00;2863
13/11/2019;B;4:00:00;2795
14/11/2019;B;4:00:00;2845
15/11/2019;B;4:00:00;2415
16/11/2019;B;4:00:00;2320
17/11/2019;B;4:00:00;693
18/11/2019;B;4:00:00;2895
19/11/2019;B;4:00:00;2716
20/11/2019;B;4:00:00;2737
21/11/2019;B;4:00:00;896
22/11/2019;B;4:00:00;2757
23/11/2019;B;4:00:00;2305
24/11/2019;B;4:00:00;603
25/11/2019;B;4:00:00;2729
26/11/2019;B;4:00:00;2704
27/11/2019;B;4:00:00;2714
28/11/2019;B;4:00:00;2681
29/11/2019;B;4:00:00;2676
30/11/2019;B;4:00:00;2225
1/12/2019;B;4:00:00;1097
2/12/2019;B;4:00:00;2672
3/12/2019;B;4:00:00;2695
4/12/2019;B;4:00:00;2704
5/12/2019;B;4:00:00;2780
6/12/2019;B;4:00:00;2653
7/12/2019;B;4:00:00;2329
8/12/2019;B;4:00:00;590
9/12/2019;B;4:00:00;2751
10/12/2019;B;4:00:00;2736
11/12/2019;B;4:00:00;2686
12/12/2019;B;4:00:00;2640
13/12/2019;B;4:00:00;2627
14/12/2019;B;4:00:00;2184
15/12/2019;B;4:00:00;694
16/12/2019;B;4:00:00;2649
17/12/2019;B;4:00:00;2464
18/12/2019;B;4:00:00;2543
19/12/2019;B;4:00:00;2506
20/12/2019;B;4:00:00;2500
21/12/2019;B;4:00:00;1951
22/12/2019;B;4:00:00;673
23/12/2019;B;4:00:00;1975
24/12/2019;B;4:00:00;1520
25/12/2019;B;4:00:00;1
26/12/2019;B;4:00:00;1876
27/12/2019;B;4:00:00;1912
28/12/2019;B;4:00:00;1747
29/12/2019;B;4:00:00;608
30/12/2019;B;4:00:00;1678
31/12/2019;B;4:00:00;1216
1/01/2020;A;4:00:00;1
1/01/2020;B;4:00:00;
2/01/2020;A;4:00:00;9210
2/01/2020;B;4:00:00;1569
3/01/2020;A;4:00:00;10213
3/01/2020;B;4:00:00;1721
4/01/2020;A;4:00:00;8966
4/01/2020;B;4:00:00;1581
5/01/2020;A;4:00:00;2977
5/01/2020;B;4:00:00;464
6/01/2020;A;4:00:00;3005
6/01/2020;B;4:00:00;579
7/01/2020;A;4:00:00;13055
7/01/2020;B;4:00:00;2284
8/01/2020;A;4:00:00;11372
8/01/2020;B;4:00:00;2182
9/01/2020;A;4:00:00;12667
9/01/2020;B;4:00:00;2244
10/01/2020;A;4:00:00;12420
10/01/2020;B;4:00:00;2343
11/01/2020;A;4:00:00;10660
11/01/2020;B;4:00:00;1904
12/01/2020;A;4:00:00;3054
12/01/2020;B;4:00:00;545
13/01/2020;A;4:00:00;13945
13/01/2020;B;4:00:00;2519
14/01/2020;A;4:00:00;13441
14/01/2020;B;4:00:00;2474
15/01/2020;A;4:00:00;13448
15/01/2020;B;4:00:00;2491
16/01/2020;A;4:00:00;13427
16/01/2020;B;4:00:00;2415
17/01/2020;A;4:00:00;13569
17/01/2020;B;4:00:00;2382
18/01/2020;A;4:00:00;11155
18/01/2020;B;4:00:00;2026
19/01/2020;A;4:00:00;3315
19/01/2020;B;4:00:00;559
20/01/2020;A;4:00:00;14672
20/01/2020;B;4:00:00;2562
21/01/2020;A;4:00:00;14204
21/01/2020;B;4:00:00;2664
22/01/2020;A;4:00:00;13936
22/01/2020;B;4:00:00;2496
23/01/2020;A;4:00:00;13976
23/01/2020;B;4:00:00;2527
24/01/2020;A;4:00:00;14193
24/01/2020;B;4:00:00;2557
