linea_origen;estacion_origen;linea_destino;estacion_destino;distancia
A;Parque Berrío;A;Universidad;2249,972455
A;San Antonio;A;Universidad;2650,125667
A;Alpujarra;A;Universidad;3160,092841
A;Exposiciones;A;Universidad;3693,342395
A;Industriales;A;Universidad;4653,680899
A;Poblado;A;Universidad;6653,428444
A;Aguacatala;A;Universidad;8714,017905
A;Ayurá;A;Universidad;9692,666002
A;Envigado;A;Universidad;11451,37703
A;Itaguí;A;Universidad;13147,40776
A;Sabaneta;A;Universidad;14334,40037
A;La Estrella;A;Universidad;15579,00312
A;Parque Berrío;A;Hospital;1580,760605
A;San Antonio;A;Hospital;1980,913817
A;Alpujarra;A;Hospital;2490,880991
A;Exposiciones;A;Hospital;3024,130545
A;Industriales;A;Hospital;3984,46905
A;Poblado;A;Hospital;5984,216594
A;Aguacatala;A;Hospital;8044,806055
A;Ayurá;A;Hospital;9023,454152
A;Envigado;A;Hospital;10782,16518
A;Itaguí;A;Hospital;12478,19591
A;Sabaneta;A;Hospital;13665,18852
A;La Estrella;A;Hospital;14909,79127
A;San Antonio;A;Prado;1138,436413
A;Alpujarra;A;Prado;1648,403587
A;Exposiciones;A;Prado;2181,653141
A;Industriales;A;Prado;3141,991645
A;Poblado;A;Prado;5141,73919
A;Aguacatala;A;Prado;7202,328651
A;Ayurá;A;Prado;8180,976747
A;Envigado;A;Prado;9939,687777
A;Itaguí;A;Prado;11635,71851
A;Sabaneta;A;Prado;12822,71112
A;La Estrella;A;Prado;14067,31387
A;Alpujarra;A;Parque Berrío;910,1203863
A;Exposiciones;A;Parque Berrío;1443,36994
A;Industriales;A;Parque Berrío;2403,708444
A;Poblado;A;Parque Berrío;4403,455989
A;Aguacatala;A;Parque Berrío;6464,04545
A;Ayurá;A;Parque Berrío;7442,693547
A;Envigado;A;Parque Berrío;9201,404576
A;Itaguí;A;Parque Berrío;10897,43531
A;Sabaneta;A;Parque Berrío;12084,42792
A;La Estrella;A;Parque Berrío;13329,03067
A;Exposiciones;A;San Antonio;1043,216728
A;Industriales;A;San Antonio;2003,555232
A;Poblado;A;San Antonio;4003,302777
A;Aguacatala;A;San Antonio;6063,892238
A;Ayurá;A;San Antonio;7042,540335
A;Envigado;A;San Antonio;8801,251364
A;Itaguí;A;San Antonio;10497,2821
A;Sabaneta;A;San Antonio;11684,27471
A;La Estrella;A;San Antonio;12928,87745
A;Industriales;A;Alpujarra;1493,588058
A;Poblado;A;Alpujarra;3493,335603
A;Aguacatala;A;Alpujarra;5553,925064
A;Ayurá;A;Alpujarra;6532,573161
A;Envigado;A;Alpujarra;8291,28419
A;Itaguí;A;Alpujarra;9987,314923
A;Sabaneta;A;Alpujarra;11174,30753
A;La Estrella;A;Alpujarra;12418,91028
A;Poblado;A;Exposiciones;2960,086049
A;Aguacatala;A;Exposiciones;5020,67551
A;Ayurá;A;Exposiciones;5999,323607
A;Envigado;A;Exposiciones;7758,034636
A;Itaguí;A;Exposiciones;9454,065369
A;Sabaneta;A;Exposiciones;10641,05798
A;La Estrella;A;Exposiciones;11885,66073
A;Aguacatala;A;Industriales;4060,337006
A;Ayurá;A;Industriales;5038,985103
A;Envigado;A;Industriales;6797,696132
A;Itaguí;A;Industriales;8493,726865
A;Sabaneta;A;Industriales;9680,719474
A;La Estrella;A;Industriales;10925,32222
A;Ayurá;A;Poblado;3039,237558
A;Envigado;A;Poblado;4797,948587
A;Itaguí;A;Poblado;6493,97932
A;Sabaneta;A;Poblado;7680,971929
A;La Estrella;A;Poblado;8925,574676
A;Envigado;A;Aguacatala;2737,359126
A;Itaguí;A;Aguacatala;4433,389859
A;Sabaneta;A;Aguacatala;5620,382469
A;La Estrella;A;Aguacatala;6864,985215
A;Itaguí;A;Ayurá;3454,741762
A;Sabaneta;A;Ayurá;4641,734372
A;La Estrella;A;Ayurá;5886,337118
A;Sabaneta;A;Envigado;2883,023342
A;La Estrella;A;Envigado;4127,626089
A;La Estrella;A;Itaguí;2431,595356
A;Bello;A;La Estrella;22708,8702
A;La Estrella;A;Bello;22708,8702
A;San Antonio;A;San Antonio;0
B;San Javier;B;San Javier;0
B;Suramericana;B;Cisneros;965,4128938
B;Estadio;B;Suramericana;589,4126702
B;Floresta;B;Estadio;1206,38009
B;Santa Lucia;B;Floresta;667,7836189
B;San Javier;B;Santa Lucia;1107,008126
B;Estadio;B;Cisneros;1554,825564
B;Floresta;B;Cisneros;2761,205654
B;Santa Lucia;B;Cisneros;3428,989272
B;San Javier;B;Cisneros;4535,997399
B;Floresta;B;Suramericana;1795,79276
B;Santa Lucia;B;Suramericana;2463,576379
B;San Javier;B;Suramericana;3570,584505
B;Santa Lucia;B;Estadio;1874,163708
B;San Javier;B;Estadio;2981,171835
B;San Javier;B;Floresta;1774,791745
B;Cisneros;A;San Antonio;637,0382175
B;Suramericana;A;San Antonio;1602,451111
B;Estadio;A;San Antonio;2191,863782
B;Floresta;A;San Antonio;3398,243871
B;Santa Lucia;A;San Antonio;4066,02749
B;San Javier;A;San Antonio;5173,035616
